Sample #,Code,Voltage
2875,0,0.0000 V
2876,0,0.0000 V
2877,0,0.0000 V
2878,0,0.0000 V
2879,0,0.0000 V
2880,0,0.0000 V
2881,0,0.0000 V
2882,0,0.0000 V
2883,0,0.0000 V
2884,0,0.0000 V
2885,0,0.0000 V
2886,0,0.0000 V
2887,0,0.0000 V
2888,0,0.0000 V
2889,0,0.0000 V
2890,0,0.0000 V
2891,0,0.0000 V
2892,1,0.0008 V
2893,0,0.0000 V
2894,0,0.0000 V
2895,0,0.0000 V
2896,0,0.0000 V
2897,0,0.0000 V
2898,0,0.0000 V
2899,0,0.0000 V
2900,0,0.0000 V
2901,0,0.0000 V
2902,16,0.0129 V
2903,2,0.0016 V
2904,42,0.0338 V
2905,0,0.0000 V
2906,0,0.0000 V
2907,5,0.0040 V
2908,0,0.0000 V
2909,15,0.0121 V
2910,0,0.0000 V
2911,0,0.0000 V
2912,0,0.0000 V
2913,44,0.0355 V
2914,34,0.0274 V
2915,0,0.0000 V
2916,11,0.0089 V
2917,0,0.0000 V
2918,0,0.0000 V
2919,0,0.0000 V
2920,0,0.0000 V
2921,0,0.0000 V
2922,0,0.0000 V
2923,3,0.0024 V
2924,0,0.0000 V
2925,0,0.0000 V
2926,0,0.0000 V
2927,0,0.0000 V
2928,3,0.0024 V
2929,0,0.0000 V
2930,0,0.0000 V
2931,0,0.0000 V
2932,0,0.0000 V
2933,0,0.0000 V
2934,0,0.0000 V
2935,0,0.0000 V
2936,0,0.0000 V
2937,0,0.0000 V
2938,0,0.0000 V
2939,0,0.0000 V
2940,0,0.0000 V
2941,0,0.0000 V
2942,0,0.0000 V
2943,0,0.0000 V
2944,0,0.0000 V
2945,0,0.0000 V
2946,0,0.0000 V
2947,0,0.0000 V
2948,0,0.0000 V
2949,0,0.0000 V
2950,0,0.0000 V
2951,0,0.0000 V
2952,9,0.0073 V
2953,0,0.0000 V
2954,0,0.0000 V
2955,0,0.0000 V
2956,5,0.0040 V
2957,10,0.0081 V
2958,0,0.0000 V
2959,14,0.0113 V
2960,0,0.0000 V
2961,5,0.0040 V
2962,0,0.0000 V
2963,35,0.0282 V
2964,70,0.0564 V
2965,0,0.0000 V
2966,47,0.0379 V
2967,0,0.0000 V
2968,22,0.0177 V
2969,0,0.0000 V
2970,45,0.0363 V
2971,34,0.0274 V
2972,6,0.0048 V
2973,76,0.0612 V
2974,57,0.0459 V
2975,12,0.0097 V
2976,0,0.0000 V
2977,28,0.0226 V
2978,29,0.0234 V
2979,0,0.0000 V
2980,16,0.0129 V
2981,0,0.0000 V
2982,12,0.0097 V
2983,19,0.0153 V
2984,65,0.0524 V
2985,19,0.0153 V
2986,0,0.0000 V
2987,33,0.0266 V
2988,2,0.0016 V
2989,0,0.0000 V
2990,0,0.0000 V
2991,0,0.0000 V
2992,0,0.0000 V
2993,0,0.0000 V
2994,1,0.0008 V
2995,0,0.0000 V
2996,0,0.0000 V
2997,1,0.0008 V
2998,0,0.0000 V
2999,29,0.0234 V
3000,0,0.0000 V
3001,0,0.0000 V
3002,23,0.0185 V
3003,13,0.0105 V
3004,0,0.0000 V
3005,0,0.0000 V
3006,0,0.0000 V
3007,0,0.0000 V
3008,0,0.0000 V
3009,0,0.0000 V
3010,0,0.0000 V
3011,0,0.0000 V
3012,0,0.0000 V
3013,18,0.0145 V
3014,0,0.0000 V
3015,0,0.0000 V
3016,7,0.0056 V
3017,0,0.0000 V
3018,0,0.0000 V
3019,0,0.0000 V
3020,0,0.0000 V
3021,0,0.0000 V
3022,13,0.0105 V
3023,35,0.0282 V
3024,85,0.0685 V
3025,35,0.0282 V
3026,35,0.0282 V
3027,59,0.0475 V
3028,35,0.0282 V
3029,24,0.0193 V
3030,25,0.0201 V
3031,30,0.0242 V
3032,5,0.0040 V
3033,37,0.0298 V
3034,41,0.0330 V
3035,34,0.0274 V
3036,0,0.0000 V
3037,66,0.0532 V
3038,44,0.0355 V
3039,11,0.0089 V
3040,0,0.0000 V
3041,18,0.0145 V
3042,6,0.0048 V
3043,53,0.0427 V
3044,36,0.0290 V
3045,23,0.0185 V
3046,25,0.0201 V
3047,42,0.0338 V
3048,37,0.0298 V
3049,16,0.0129 V
3050,0,0.0000 V
3051,0,0.0000 V
3052,0,0.0000 V
3053,45,0.0363 V
3054,0,0.0000 V
3055,20,0.0161 V
3056,28,0.0226 V
3057,17,0.0137 V
3058,1,0.0008 V
3059,0,0.0000 V
3060,0,0.0000 V
3061,0,0.0000 V
3062,0,0.0000 V
3063,0,0.0000 V
3064,0,0.0000 V
3065,0,0.0000 V
3066,0,0.0000 V
3067,0,0.0000 V
3068,0,0.0000 V
3069,0,0.0000 V
3070,0,0.0000 V
3071,0,0.0000 V
3072,0,0.0000 V
3073,0,0.0000 V
3074,0,0.0000 V
3075,0,0.0000 V
3076,0,0.0000 V
3077,6,0.0048 V
3078,0,0.0000 V
3079,0,0.0000 V
3080,0,0.0000 V
3081,0,0.0000 V
3082,0,0.0000 V
3083,5,0.0040 V
3084,26,0.0210 V
3085,9,0.0073 V
3086,19,0.0153 V
3087,0,0.0000 V
3088,10,0.0081 V
3089,0,0.0000 V
3090,0,0.0000 V
3091,8,0.0064 V
3092,0,0.0000 V
3093,37,0.0298 V
3094,13,0.0105 V
3095,24,0.0193 V
3096,14,0.0113 V
3097,46,0.0371 V
3098,48,0.0387 V
3099,58,0.0467 V
3100,34,0.0274 V
3101,0,0.0000 V
3102,33,0.0266 V
3103,38,0.0306 V
3104,10,0.0081 V
3105,18,0.0145 V
3106,16,0.0129 V
3107,56,0.0451 V
3108,41,0.0330 V
3109,31,0.0250 V
3110,18,0.0145 V
3111,0,0.0000 V
3112,35,0.0282 V
3113,44,0.0355 V
3114,96,0.0774 V
3115,5,0.0040 V
3116,21,0.0169 V
3117,72,0.0580 V
3118,20,0.0161 V
3119,34,0.0274 V
3120,0,0.0000 V
3121,14,0.0113 V
3122,9,0.0073 V
3123,0,0.0000 V
3124,17,0.0137 V
3125,0,0.0000 V
3126,0,0.0000 V
3127,0,0.0000 V
3128,15,0.0121 V
3129,0,0.0000 V
3130,0,0.0000 V
3131,5,0.0040 V
3132,0,0.0000 V
3133,0,0.0000 V
3134,0,0.0000 V
3135,0,0.0000 V
3136,0,0.0000 V
3137,0,0.0000 V
